barcode;name;description;unit;rate;costprice;lastprice;category;notax;discper
6281014134019;قودى ذرة  ذهبية 350 ج;قودى ذرة  ذهبية 350 ج;1;5.5;4.954;5;1;FALSE;0
6251361100104;شاي كبوس خيط 100;شاي كبوس خيط 100;1;13;12.027;12.5;1;FALSE;0
5202118101050;زيتون ايديال 125 ج;زيتون ايديال 125 ج;1;8.5;7.386;7.5;1;FALSE;0
5283003202038;حمص بالطحينة شتورة 380 ج;حمص بالطحينة شتورة 380 ج;1;4.5;3.402;4;1;FALSE;0
8004030352513;نونة ريو علبتين 160 ج;نونة ريو علبتين 160 ج;20;28;24.256;25.5;1;FALSE;0
6281006850415;شاي ليبتون خيط 100 كيس;شاي ليبتون خيط 100 كيس;1;16;14;14;1;FALSE;0
6285441000305;ماء أوجين نص ريال;ماء أوجين نص ريال;6;17;13;13;1;FALSE;0
123456;علب قصدير صغيرة;علب قصدير صغيرة;1;7.67;6;6;1;FALSE;0
6281036014085;كيس كرنشي شيتوس *16 عبوة;كيس كرنشي شيتوس *16 عبوة;3;18;0;0;1;FALSE;0
6281036999955;كيس ليز بالجبنة الفرنسية *14عبوة;كيس ليز بالجبنة الفرنسية *14عبوة;3;16;0;0;1;FALSE;0
6281036999986;كيس ليز بالملح والخل*14عبوة;كيس ليز بالملح والخل*14عبوة;3;16;0;0;1;FALSE;0
6281036999993;كيس ليز بالملح*14 عبوة;كيس ليز بالملح*14 عبوة;9;16;0;0;1;FALSE;0
6281036999962;كيس ليز بكاتشب الطماطم*14عبوة;كيس ليز بكاتشب الطماطم*14عبوة;3;14;13.318;13.5;1;FALSE;0
6281036999979;كيس ليز بالفلفل الحار;كيس ليز بالفلفل الحار;8;16;0;0;1;FALSE;0
6281100971924;كيس زيزو *20عبوة;كيس زيزو *20عبوة;8;16;14.436;14.5;1;FALSE;0
6281100850618;كيس بفك نسمة;كيس بفك نسمة;8;8;7.507;7.5;1;FALSE;0
6281071111213;كيس مرامي كاتشب;كيس مرامي;8;9;7;7;1;FALSE;0
6281071112210;كيس مرامي;كيس مرامي;8;9;7;7;1;FALSE;0
6281071146215;كيس مرامي;كيس مرامي;8;9;7;7;1;FALSE;0
6281071114214;كيس مرامي;كيس مرامي;8;9;7.748;8.5;1;FALSE;0
6294001821670;شوكولاتة بالحليب محشوه بالكرامل 40ج;شوكولاتة بالحليب محشوه بالكرامل 40ج;1;3.5;2;2;1;FALSE;0
5000159407236;شوكولاتة مارس;شوكولاتة مارس;1;3;2.156;2.5;1;FALSE;0
5000159519762;شوكولاتة ريبيل 33ج;شوكولاتة ريبيل 33ج;1;3;2.397;2.5;1;FALSE;0
40111216;شوكولاتة باونتي 2*5 28ج(57)ج;شوكولاتة باونتي 2*5 28ج(57)ج;1;3;2.313;2.5;1;FALSE;0
6294001800279;شوكولاتة جالكسي كرسبي36ج;شوكولاتة جالكسي كرسبي36ج;1;3.5;2.647;3;1;FALSE;0
6221134001129;شوكولاتة جالكسي بالزبيب والبندق40ج;شوكولاتة جالكسي بالزبيب والبندق40ج;1;3.29;2;2;1;FALSE;0
6294001815266;شوكولاتة جالكسي غامقة40ج;شوكولاتة جالكسي غامقة40ج;1;3.5;2.22;3;1;FALSE;0
6221134000986;شوكولاتة جالكسي بالبندق40ج;شوكولاتة جالكسي بالبندق40ج;1;3.29;2;2;1;FALSE;0
6221134004922;شوكولاتة جالكسي بالحليب36ج;شوكولاتة جالكسي بالحليب36ج;1;3.5;2.654;3;1;FALSE;0
6294001820017;شوكولاتة جالكسيبالحليب 22ج;شوكولاتة جالكسيبالحليب 22ج;1;1.64;1;1;1;FALSE;0
6221134000108;شوكولاتة جالكسي فلوتس 22.5ج;شوكولاتة جالكسي فلوتس 22.5ج;1;1.5;0.917;1;1;FALSE;0
6221134002638;شوكولاتة جالكسي فلوتس 45ج;شوكولاتة جالكسي فلوتس 45ج;1;2.5;1.226;2;1;FALSE;0
6294001810490;شوكولاتة جالكسي بالكرامل 20ج;شوكولاتة جالكسي بالكرامل 20ج;1;1.5;0.933;1;1;FALSE;0
5000159461122;شوكولاتة سنكرس 50ج;شوكولاتة سنكرس 50ج;1;3;2.282;2.5;1;FALSE;0
6294001800019;شوكولاتة جالكسي كريسبي 16 ج;شوكولاتة جالكسي كريسبي 16 ج;1;1.5;0.868;1;1;FALSE;0
6221134005974;جالكسي فلوتس بكريمة بيضاء 22.5ج;شوكولاتة جالكسي فلوتس بكريمة بيضاء 22.5ج;1;1.5;1;1;1;FALSE;0
5000159459273;شوكولاتة توكس كراميل 25ج;شوكولاتة توكس كراميل 25ج;1;1.5;1;1;1;FALSE;0
4607065737849;شوكولاتة باونتي 28.5ج;شوكولاتة باونتي 28.5ج;1;1.5;1;1;1;FALSE;0
6294001813392;شوكولاتة مارس 33ج;شوكولاتة مارس 33ج;1;1.5;1;1;1;FALSE;0
5000159459228;شوكولاتة توكس 50ج;شوكولاتة توكس 50ج;1;3;2.341;2.5;1;FALSE;0
6294001813316;شوكولاتة سنكرس 32ج;شوكولاتة سنكرس 32ج;1;1.5;1;1;1;FALSE;0
5053990107339;بطاطس برنجلز طعم اصلي40ج;بطاطس برنجلز40ج;1;3.5;2.784;3;1;FALSE;0
5053990107278;بطاطس برنجلز طعم الشواء 40ج;بطاطس برنجلز 40ج;1;3.5;2.932;3;1;FALSE;0
5053990107292;بطاطس برنجلز حاره40ج;بطاطس برنجلز40ج;1;3.5;2.904;3;1;FALSE;0
5053990101566;بطاطس برنجلز كاتشب 165ج;بطاطس برنجلز 165ج;1;9;8.293;8.5;1;FALSE;0
5053990101528;بطاطس برنجلز طعم الشواء165ج;بطاطس برنجلز165ج;1;9;8.5;8.5;1;FALSE;0
5053990101573;بطاطس برنجلزالاصلي165ج;بطاطس برنجلز165ج;1;9;7;7;1;FALSE;0
5053990101542;بطاطس برنجلز حاره 165ج;بطاطس برنجلز165ج;1;9;7.602;8.5;1;FALSE;0
6291028007100;مستر كريسبس هالابينو 65ج;مستر كريسبس هالابينو 65ج;1;10;6;6;1;FALSE;0
6291028016119;مستر كريسبي الذرة كورلس 80 ج;مستر كريسبي الذرة كورلس 80 ج;1;8;6;6;1;FALSE;0
6287014280008;عيدان البطاطا فلفل حار 45ج;عيدان البطاطا فلفل حار 45ج;1;3.5;3;3;1;FALSE;0
6287014280015;عيدان البطاطا ملح 45ج;عيدان البطاطا ملح 45ج;1;3.5;3;3;1;FALSE;0
6281016905419;كيس فيشار البطل بالجبنة;كيس فيشار البطل بالجبنة;1;9.86;8;8;1;FALSE;0
6281016192857;فيشار البطل فلفل حار;فيشار البطل فلفل حار;8;9.86;8;8;1;FALSE;0
6281016800141;فيشار البطل بالذبدة;فيشار البطل بالذبدة;8;9;8.975;8.5;1;FALSE;0
6281036171245;بطاطس تسالي فلفل حار;بطاطس تسالي فلفل حار;1;12;11.242;11.5;1;FALSE;0
6281036001955;بطاطس ليز حار نار;بطاطس ليز حار نار;3;14;13;13;1;FALSE;0
6281016106823;بطاطس البطل كاتشب;بطاطس البطل كاتشب;8;10;9.049;9.5;1;FALSE;0
6281016503554;سناكس الذرة البطل طماطم حلوة;سناكس الذرة البطل طماطم حلوة;8;10;9.428;9.5;1;FALSE;0
6281016960135;بطاطس البطل ملح وخل;بطاطس البطل ملح وخل;9;10;9.374;9.5;1;FALSE;0
6281016004686;دانيو البطل كاتشب;دانيو البطل كاتشب;8;11;9;9;1;FALSE;0
6291028001016;بفك اماراتي *25كيس;بفك اماراتي *25كيس;8;12;10;10;1;FALSE;0
6281036171146;بطاطس تسالي كاتشب;بطاطس تسالي كاتشب;3;12;11.793;11.5;1;FALSE;0
